GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
taskmanagement service,com.fsd.taskmanagement.app.controller,TaskController,69,3,14,0,22,1,14,1,7,1
taskmanagement service,com.fsd.taskmanagement.app.controller,UserController,58,3,12,0,15,1,10,1,4,1
taskmanagement service,com.fsd.taskmanagement.app.controller,ProjectController,71,3,10,0,18,1,10,1,5,1
taskmanagement service,com.fsd.taskmanagement.app.model,ParentTask,25,13,0,0,6,6,3,4,3,4
taskmanagement service,com.fsd.taskmanagement.app.model,User,67,3,6,0,20,1,15,1,12,1
taskmanagement service,com.fsd.taskmanagement.app.model,Project,88,3,6,0,29,1,21,1,18,1
taskmanagement service,com.fsd.taskmanagement.app.model,Task,29,44,0,0,13,18,8,13,8,13
taskmanagement service,com.fsd.taskmanagement.app,TaskManagementApplication,5,3,0,0,2,1,1,1,1,1
taskmanagement service,com.fsd.taskmanagement.app.service,TaskService,78,82,11,5,22,20,14,6,6,6
taskmanagement service,com.fsd.taskmanagement.app.service,ProjectService,59,3,6,0,17,1,8,1,5,1
taskmanagement service,com.fsd.taskmanagement.app.service,UserService,62,3,8,0,16,1,8,1,4,1
